SetupTitle, HfO2 experiment,,,,
DataValue,0.65,0.000184754,0.000184754, , 
DataValue,0.66,0.000188151,0.000188151, , 
DataValue,0.67,0.000192299,0.000192299, , 
DataValue,0.68,0.000197086,0.000197086, , 
DataValue,0.69,0.000203285,0.000203285, , 
DataValue,0.7,0.00020898,0.00020898, , 
DataValue,0.71,0.000217241,0.000217241, , 
DataValue,0.72,0.000226422,0.000226422, , 
DataValue,0.73,0.000231816,0.000231816, , 
DataValue,0.74,0.00023034,0.00023034, , 
DataValue,0.75,0.000235298,0.000235298, , 
DataValue,0.76,0.000247383,0.000247383, , 
DataValue,0.77,0.000249107,0.000249107, , 
DataValue,0.78,0.00025483,0.00025483, , 
DataValue,0.79,0.000259435,0.000259435, , 
DataValue,0.8,0.000267635,0.000267635, , 
DataValue,0.81,0.000276642,0.000276642, , 
DataValue,0.82,0.000282849,0.000282849, , 
DataValue,0.83,0.000289263,0.000289263, , 
DataValue,0.84,0.000301307,0.000301307, , 
DataValue,0.85,0.00031707,0.00031707, , 
DataValue,0.86,0.000326007,0.000326007, , 
DataValue,0.87,0.000342791,0.000342791, , 
DataValue,0.88,0.000344686,0.000344686, , 
DataValue,0.89,0.000354561,0.000354561, , 
DataValue,0.9,0.000796187,0.000796187, , 
DataValue,0.91,0.00151619,0.00151619, , 
DataValue,0.92,0.00153252,0.00153252, , 
DataValue,0.93,0.00158784,0.00158784, , 
DataValue,0.94,0.00160945,0.00160945, , 
DataValue,0.95,0.00169565,0.00169565, , 
DataValue,0.96,0.00166375,0.00166375, , 
DataValue,0.97,0.00177696,0.00177696, , 
DataValue,0.98,0.0017988,0.0017988, , 
DataValue,0.99,0.00185594,0.00185594, , 
DataValue,1,0.00188357,0.00188357, , 
DataValue,1,0.00188945,0.00188945, , 
DataValue,0.99,0.00187004,0.00187004, , 
DataValue,0.98,0.00185798,0.00185798, , 
DataValue,0.97,0.00182802,0.00182802, , 
DataValue,0.96,0.00183819,0.00183819, , 
DataValue,0.95,0.001806,0.001806, , 
DataValue,0.94,0.00178681,0.00178681, , 
DataValue,0.93,0.00177047,0.00177047, , 
DataValue,0.92,0.00175019,0.00175019, , 
DataValue,0.91,0.00172685,0.00172685, , 
DataValue,0.9,0.00170539,0.00170539, , 
DataValue,0.89,0.00168326,0.00168326, , 
DataValue,0.88,0.00166513,0.00166513, , 
DataValue,0.87,0.00164402,0.00164402, , 
DataValue,0.86,0.00162477,0.00162477, , 
DataValue,0.85,0.00160577,0.00160577, , 
DataValue,0.84,0.00158312,0.00158312, , 
DataValue,0.83,0.00156102,0.00156102, , 
DataValue,0.82,0.00153956,0.00153956, , 
DataValue,0.81,0.00151984,0.00151984, , 
DataValue,0.8,0.00149795,0.00149795, , 
DataValue,0.79,0.00147831,0.00147831, , 
DataValue,0.78,0.00145746,0.00145746, , 
DataValue,0.77,0.00143673,0.00143673, , 
DataValue,0.76,0.00141596,0.00141596, , 
DataValue,0.75,0.0013944,0.0013944, , 
DataValue,0.74,0.00137217,0.00137217, , 
DataValue,0.73,0.00135127,0.00135127, , 
DataValue,0.72,0.00133072,0.00133072, , 
DataValue,0.71,0.00130894,0.00130894, , 
DataValue,0.7,0.0012879,0.0012879, , 
DataValue,0.69,0.00126672,0.00126672, , 
DataValue,0.68,0.00124503,0.00124503, , 
DataValue,0.67,0.00122334,0.00122334, , 
DataValue,0.66,0.00120151,0.00120151, , 
DataValue,0.65,0.00118059,0.00118059, , 
DataValue,0.64,0.00115956,0.00115956, , 
DataValue,0.63,0.00113922,0.00113922, , 
DataValue,0.62,0.00111819,0.00111819, , 
DataValue,0.61,0.0010969,0.0010969, , 
DataValue,0.6,0.00107563,0.00107563, , 
DataValue,0.59,0.00105497,0.00105497, , 
DataValue,0.58,0.00103419,0.00103419, , 
DataValue,0.57,0.00101314,0.00101314, , 
DataValue,0.56,0.00099336,0.00099336, , 
DataValue,0.55,0.000972185,0.000972185, , 
DataValue,0.54,0.000951134,0.000951134, , 
DataValue,0.53,0.000930803,0.000930803, , 
DataValue,0.52,0.000910195,0.000910195, , 
DataValue,0.51,0.000889916,0.000889916, , 
DataValue,0.5,0.000869915,0.000869915, , 
DataValue,0.49,0.000849486,0.000849486, , 
DataValue,0.48,0.000829897,0.000829897, , 
DataValue,0.47,0.000809709,0.000809709, , 
DataValue,0.46,0.000789576,0.000789576, , 
DataValue,0.45,0.000770371,0.000770371, , 
DataValue,0.44,0.000750408,0.000750408, , 
DataValue,0.43,0.00073132,0.00073132, , 
DataValue,0.42,0.00071178,0.00071178, , 
DataValue,0.41,0.000692794,0.000692794, , 
DataValue,0.4,0.000673609,0.000673609, , 
DataValue,0.39,0.000655106,0.000655106, , 
DataValue,0.38,0.00063646,0.00063646, , 
DataValue,0.37,0.000617448,0.000617448, , 
DataValue,0.36,0.00059888,0.00059888, , 
DataValue,0.35,0.000580514,0.000580514, , 
DataValue,0.34,0.000562264,0.000562264, , 
DataValue,0.33,0.00054411,0.00054411, , 
DataValue,0.32,0.000525986,0.000525986, , 
DataValue,0.31,0.000508095,0.000508095, , 
DataValue,0.3,0.000490138,0.000490138, , 
DataValue,0.29,0.000472436,0.000472436, , 
DataValue,0.28,0.000455014,0.000455014, , 
DataValue,0.27,0.000437214,0.000437214, , 
DataValue,0.26,0.000420459,0.000420459, , 
DataValue,0.25,0.000403068,0.000403068, , 
DataValue,0.24,0.000386097,0.000386097, , 
DataValue,0.23,0.000368894,0.000368894, , 
DataValue,0.22,0.000352062,0.000352062, , 
DataValue,0.21,0.000335128,0.000335128, , 
DataValue,0.2,0.000318505,0.000318505, , 
DataValue,0.19,0.000301876,0.000301876, , 
DataValue,0.18,0.000285594,0.000285594, , 
DataValue,0.17,0.000268838,0.000268838, , 
DataValue,0.16,0.000252774,0.000252774, , 
DataValue,0.15,0.000236363,0.000236363, , 
DataValue,0.14,0.000220301,0.000220301, , 
DataValue,0.13,0.000204194,0.000204194, , 
DataValue,0.12,0.000188064,0.000188064, , 
DataValue,0.11,0.0001722,0.0001722, , 
DataValue,0.1,0.000156213,0.000156213, , 
DataValue,0.09,0.000140498,0.000140498, , 
DataValue,0.08,0.000124682,0.000124682, , 
DataValue,0.07,0.000108906,0.000108906, , 
DataValue,0.06,9.35E-05,9.34536E-05, , 
DataValue,0.05,7.78E-05,0.000077765, , 
DataValue,0.04,6.22E-05,6.22302E-05, , 
DataValue,0.03,4.66E-05,4.65906E-05, , 
DataValue,0.02,3.10E-05,3.09771E-05, , 
DataValue,0.01,1.55E-05,1.55189E-05, , 
DataValue,0,-4.50E-08,4.5017E-08, , 
DataValue,-0.01,-1.55E-05,1.55063E-05, , 
DataValue,-0.02,-3.11E-05,3.10674E-05, , 
DataValue,-0.03,-4.66E-05,0.000046636, , 
DataValue,-0.04,-6.21E-05,6.21183E-05, , 
DataValue,-0.05,-7.77E-05,7.76974E-05, , 
DataValue,-0.06,-9.32E-05,9.31745E-05, , 
DataValue,-0.07,-0.000108838,0.000108838, , 
DataValue,-0.08,-0.00012444,0.00012444, , 
DataValue,-0.09,-0.000140129,0.000140129, , 
DataValue,-0.1,-0.000155817,0.000155817, , 
DataValue,-0.11,-0.000171502,0.000171502, , 
DataValue,-0.12,-0.000187283,0.000187283, , 
DataValue,-0.13,-0.00020309,0.00020309, , 
DataValue,-0.14,-0.000219104,0.000219104, , 
DataValue,-0.15,-0.000235116,0.000235116, , 
DataValue,-0.16,-0.000251151,0.000251151, , 
DataValue,-0.17,-0.000267214,0.000267214, , 
DataValue,-0.18,-0.000283072,0.000283072, , 
DataValue,-0.19,-0.000299507,0.000299507, , 
DataValue,-0.2,-0.000315925,0.000315925, , 
DataValue,-0.21,-0.00033211,0.00033211, , 
DataValue,-0.22,-0.000349055,0.000349055, , 
DataValue,-0.23,-0.000365518,0.000365518, , 
DataValue,-0.24,-0.00038239,0.00038239, , 
DataValue,-0.25,-0.000398825,0.000398825, , 
DataValue,-0.26,-0.000415932,0.000415932, , 
DataValue,-0.27,-0.00043239,0.00043239, , 
DataValue,-0.28,-0.000449755,0.000449755, , 
DataValue,-0.29,-0.000467065,0.000467065, , 
DataValue,-0.3,-0.000484794,0.000484794, , 
DataValue,-0.31,-0.000501946,0.000501946, , 
DataValue,-0.32,-0.000519505,0.000519505, , 
DataValue,-0.33,-0.000537038,0.000537038, , 
DataValue,-0.34,-0.000555072,0.000555072, , 
DataValue,-0.35,-0.0005729,0.0005729, , 
DataValue,-0.36,-0.000591198,0.000591198, , 
DataValue,-0.37,-0.000609421,0.000609421, , 
DataValue,-0.38,-0.000627881,0.000627881, , 
DataValue,-0.39,-0.000645878,0.000645878, , 
DataValue,-0.4,-0.000664475,0.000664475, , 
DataValue,-0.41,-0.000683164,0.000683164, , 
DataValue,-0.42,-0.000701998,0.000701998, , 
DataValue,-0.43,-0.000719818,0.000719818, , 
DataValue,-0.44,-0.000739357,0.000739357, , 
DataValue,-0.45,-0.000758993,0.000758993, , 
DataValue,-0.46,-0.000778563,0.000778563, , 
DataValue,-0.47,-0.000797466,0.000797466, , 
DataValue,-0.48,-0.000816951,0.000816951, , 
DataValue,-0.49,-0.000836231,0.000836231, , 
DataValue,-0.5,-0.000855585,0.000855585, , 
DataValue,-0.51,-0.000875542,0.000875542, , 
DataValue,-0.52,-0.000895595,0.000895595, , 
DataValue,-0.53,-0.000915664,0.000915664, , 
DataValue,-0.54,-0.000935667,0.000935667, , 
DataValue,-0.55,-0.000955664,0.000955664, , 
DataValue,-0.56,-0.000974662,0.000974662, , 
DataValue,-0.57,-0.000995754,0.000995754, , 
DataValue,-0.58,-0.001015241,0.001015241, , 
DataValue,-0.59,-0.001036334,0.001036334, , 
DataValue,-0.6,-0.001055361,0.001055361, , 
DataValue,-0.61,-0.001075801,0.001075801, , 
DataValue,-0.62,-0.001096143,0.001096143, , 
DataValue,-0.63,-0.001117592,0.001117592, , 
DataValue,-0.64,-0.001137748,0.001137748, , 
DataValue,-0.65,-0.00115955,0.00115955, , 
DataValue,-0.66,-0.00118098,0.00118098, , 
DataValue,-0.67,-0.00120012,0.00120012, , 
DataValue,-0.68,-0.00122189,0.00122189, , 
DataValue,-0.69,-0.0012436,0.0012436, , 
DataValue,-0.7,-0.00126222,0.00126222, , 
DataValue,-0.71,-0.00128049,0.00128049, , 
DataValue,-0.72,-0.00130151,0.00130151, , 
DataValue,-0.73,-0.00132573,0.00132573, , 
DataValue,-0.74,-0.00134725,0.00134725, , 
DataValue,-0.75,-0.00137212,0.00137212, , 
DataValue,-0.76,-0.00139492,0.00139492, , 
DataValue,-0.77,-0.00143102,0.00143102, , 
DataValue,-0.78,-0.00145712,0.00145712, , 
DataValue,-0.79,-0.00148315,0.00148315, , 
DataValue,-0.8,-0.00150536,0.00150536, , 
DataValue,-0.81,-0.00153126,0.00153126, , 
DataValue,-0.82,-0.00155722,0.00155722, , 
DataValue,-0.83,-0.0015916,0.0015916, , 
DataValue,-0.84,-0.00162731,0.00162731, , 
DataValue,-0.85,-0.00169296,0.00169296, , 
DataValue,-0.86,-0.00174041,0.00174041, , 
DataValue,-0.87,-0.00177512,0.00177512, , 
DataValue,-0.88,-0.0018096,0.0018096, , 
DataValue,-0.89,-0.00184444,0.00184444, , 
DataValue,-0.9,-0.00188232,0.00188232, , 
DataValue,-0.91,-0.00191622,0.00191622, , 
DataValue,-0.92,-0.00195925,0.00195925, , 
DataValue,-0.93,-0.00199533,0.00199533, , 
DataValue,-0.94,-0.00202399,0.00202399, , 
DataValue,-0.95,-0.0020524,0.0020524, , 
DataValue,-0.96,-0.00208343,0.00208343, , 
DataValue,-0.97,-0.00212952,0.00212952, , 
DataValue,-0.98,-0.00218531,0.00218531, , 
DataValue,-0.99,-0.00222069,0.00222069, , 
DataValue,-1,-0.00225522,0.00225522, , 
